x: 152.46, y: 238.69, xUWB: 152.0, yUWB: 240.5
x: 153.56, y: 238.69, xUWB: 152.0, yUWB: 240.5
x: 153.56, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 153.56, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 154.86, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 154.86, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 156.86, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 156.86, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 159.46, y: 238.69, xUWB: 152.3, yUWB: 240.3
x: 159.46, y: 238.69, xUWB: 158.7, yUWB: 248.0
x: 159.46, y: 238.69, xUWB: 158.7, yUWB: 248.0
x: 162.46, y: 238.69, xUWB: 158.7, yUWB: 248.0
x: 162.46, y: 238.69, xUWB: 158.7, yUWB: 248.0
x: 165.16, y: 238.79, xUWB: 158.7, yUWB: 248.0
x: 165.16, y: 238.79, xUWB: 162.4, yUWB: 233.6
x: 165.16, y: 238.79, xUWB: 162.4, yUWB: 233.6
x: 167.96, y: 238.79, xUWB: 162.4, yUWB: 233.6
x: 167.96, y: 238.79, xUWB: 162.4, yUWB: 233.6
x: 170.76, y: 238.79, xUWB: 162.4, yUWB: 233.6
x: 170.76, y: 238.79, xUWB: 172.0, yUWB: 240.8
x: 170.76, y: 238.79, xUWB: 172.0, yUWB: 240.8
x: 173.66, y: 238.89, xUWB: 172.0, yUWB: 240.8
x: 173.66, y: 238.89, xUWB: 172.0, yUWB: 240.8
x: 176.56, y: 238.99, xUWB: 172.0, yUWB: 240.8
x: 176.56, y: 238.99, xUWB: 174.4, yUWB: 245.5
x: 176.56, y: 238.99, xUWB: 174.4, yUWB: 245.5
x: 179.16, y: 239.09, xUWB: 174.4, yUWB: 245.5
x: 179.16, y: 239.09, xUWB: 174.4, yUWB: 245.5
x: 181.96, y: 239.19, xUWB: 174.4, yUWB: 245.5
x: 181.96, y: 239.19, xUWB: 183.7, yUWB: 241.0
x: 181.96, y: 239.19, xUWB: 183.7, yUWB: 241.0
x: 185.66, y: 239.29, xUWB: 183.7, yUWB: 241.0
x: 185.66, y: 239.29, xUWB: 183.7, yUWB: 241.0
x: 189.56, y: 239.49, xUWB: 183.7, yUWB: 241.0
x: 189.56, y: 239.49, xUWB: 189.8, yUWB: 245.9
x: 189.56, y: 239.49, xUWB: 189.8, yUWB: 245.9
x: 193.36, y: 239.59, xUWB: 189.8, yUWB: 245.9
x: 193.36, y: 239.59, xUWB: 189.8, yUWB: 245.9
x: 197.26, y: 239.79, xUWB: 189.8, yUWB: 245.9
x: 197.26, y: 239.79, xUWB: 189.8, yUWB: 245.9
x: 201.06, y: 239.99, xUWB: 189.8, yUWB: 245.9
x: 201.06, y: 239.99, xUWB: 200.0, yUWB: 242.1
x: 201.06, y: 239.99, xUWB: 200.0, yUWB: 242.1
x: 205.06, y: 240.19, xUWB: 200.0, yUWB: 242.1
x: 205.06, y: 240.19, xUWB: 200.0, yUWB: 242.1
x: 208.96, y: 240.39, xUWB: 200.0, yUWB: 242.1
x: 208.96, y: 240.39, xUWB: 209.2, yUWB: 242.0
x: 208.96, y: 240.39, xUWB: 209.2, yUWB: 242.0
x: 212.76, y: 240.59, xUWB: 209.2, yUWB: 242.0
x: 212.76, y: 240.59, xUWB: 209.2, yUWB: 242.0
x: 216.76, y: 240.69, xUWB: 209.2, yUWB: 242.0
x: 216.76, y: 240.69, xUWB: 217.3, yUWB: 241.5
x: 216.76, y: 240.69, xUWB: 217.3, yUWB: 241.5
x: 220.56, y: 240.79, xUWB: 217.3, yUWB: 241.5
x: 220.56, y: 240.79, xUWB: 217.3, yUWB: 241.5
x: 224.56, y: 240.79, xUWB: 217.3, yUWB: 241.5
x: 224.56, y: 240.79, xUWB: 230.4, yUWB: 237.2
x: 224.56, y: 240.79, xUWB: 230.4, yUWB: 237.2
x: 228.46, y: 240.69, xUWB: 230.4, yUWB: 237.2
x: 228.46, y: 240.69, xUWB: 230.4, yUWB: 237.2
x: 232.26, y: 240.69, xUWB: 230.4, yUWB: 237.2
x: 232.26, y: 240.69, xUWB: 236.3, yUWB: 242.1
x: 232.26, y: 240.69, xUWB: 236.3, yUWB: 242.1
x: 236.06, y: 240.59, xUWB: 236.3, yUWB: 242.1
x: 236.06, y: 240.59, xUWB: 236.3, yUWB: 242.1
x: 240.06, y: 240.49, xUWB: 236.3, yUWB: 242.1
x: 240.06, y: 240.49, xUWB: 236.3, yUWB: 242.1
x: 243.96, y: 240.49, xUWB: 236.3, yUWB: 242.1
x: 243.96, y: 240.49, xUWB: 244.0, yUWB: 236.3
x: 243.96, y: 240.49, xUWB: 244.0, yUWB: 236.3
x: 247.86, y: 240.39, xUWB: 244.0, yUWB: 236.3
x: 247.86, y: 240.39, xUWB: 244.0, yUWB: 236.3
x: 251.56, y: 240.29, xUWB: 244.0, yUWB: 236.3
x: 251.56, y: 240.29, xUWB: 255.6, yUWB: 237.9
x: 251.56, y: 240.29, xUWB: 255.6, yUWB: 237.9
x: 255.46, y: 240.29, xUWB: 255.6, yUWB: 237.9
